"","id","l1","rf","rq","tot"
"692","E02000024 E02000043",1,1,0,2
"17891","E02000743 E02000866",1,1,0,2
"19252","E02000824 E02000838",1,1,0,2
"29944","E02001755 E02001761",1,1,0,2
"42045","E02002893 E02005909",1,1,0,2
"45770","E02003322 E02003336",1,1,0,2
"48775","E02003799 W02000072",0,1,1,2
"48803","E02003808 W02000072",0,1,1,2
"50916","E02004635 W02000342",0,1,1,2
"50917","E02004635 W02000343",0,1,1,2
"55394","E02006023 W02000096",0,1,1,2
"57825","W02000003 W02000004",0,1,1,2
"57826","W02000008 W02000010",0,1,1,2
"57827","W02000008 W02000011",0,1,1,2
"57828","W02000010 W02000011",0,1,1,2
"57829","W02000013 W02000015",0,1,1,2
"57830","W02000015 W02000016",0,1,1,2
"57831","W02000027 W02000028",0,1,1,2
"57832","W02000027 W02000029",0,1,1,2
"57833","W02000027 W02000032",0,1,1,2
"57834","W02000027 W02000037",0,1,1,2
"57835","W02000028 W02000029",0,1,1,2
"57836","W02000028 W02000032",0,1,1,2
"57837","W02000028 W02000037",0,1,1,2
"57838","W02000028 W02000038",0,1,1,2
"57839","W02000029 W02000030",0,1,1,2
"57840","W02000029 W02000032",0,1,1,2
"57841","W02000029 W02000033",0,1,1,2
"57842","W02000029 W02000034",0,1,1,2
"57843","W02000029 W02000037",0,1,1,2
"57844","W02000030 W02000033",0,1,1,2
"57845","W02000030 W02000034",0,1,1,2
"57846","W02000030 W02000037",0,1,1,2
"57847","W02000031 W02000036",0,1,1,2
"57848","W02000031 W02000045",0,1,1,2
"57849","W02000031 W02000047",0,1,1,2
"57850","W02000031 W02000050",0,1,1,2
"57851","W02000031 W02000419",0,1,1,2
"57852","W02000032 W02000037",0,1,1,2
"57853","W02000032 W02000038",0,1,1,2
"57854","W02000033 W02000034",0,1,1,2
"57855","W02000033 W02000035",0,1,1,2
"57856","W02000033 W02000037",0,1,1,2
"57857","W02000034 W02000035",0,1,1,2
"57858","W02000034 W02000037",0,1,1,2
"57859","W02000037 W02000038",0,1,1,2
"57860","W02000042 W02000043",0,1,1,2
"57861","W02000042 W02000044",0,1,1,2
"57862","W02000042 W02000045",0,1,1,2
"57863","W02000042 W02000047",0,1,1,2
"57864","W02000042 W02000049",0,1,1,2
"57865","W02000042 W02000419",0,1,1,2
"57866","W02000043 W02000044",0,1,1,2
"57867","W02000043 W02000049",0,1,1,2
"57868","W02000043 W02000058",0,1,1,2
"57869","W02000043 W02000419",0,1,1,2
"57870","W02000044 W02000045",0,1,1,2
"57871","W02000044 W02000047",0,1,1,2
"57872","W02000044 W02000049",0,1,1,2
"57873","W02000044 W02000419",0,1,1,2
"57874","W02000045 W02000047",0,1,1,2
"57875","W02000045 W02000050",0,1,1,2
"57876","W02000045 W02000419",0,1,1,2
"57877","W02000047 W02000049",0,1,1,2
"57878","W02000047 W02000050",0,1,1,2
"57879","W02000047 W02000419",0,1,1,2
"57880","W02000049 W02000050",0,1,1,2
"57881","W02000049 W02000419",0,1,1,2
"57882","W02000050 W02000051",0,1,1,2
"57883","W02000050 W02000419",0,1,1,2
"57884","W02000052 W02000053",0,1,1,2
"57885","W02000054 W02000055",0,1,1,2
"57886","W02000059 W02000060",0,1,1,2
"57887","W02000061 W02000062",0,1,1,2
"57888","W02000064 W02000065",0,1,1,2
"57889","W02000064 W02000066",0,1,1,2
"57890","W02000064 W02000067",0,1,1,2
"57891","W02000064 W02000068",0,1,1,2
"57892","W02000064 W02000069",0,1,1,2
"57893","W02000064 W02000070",0,1,1,2
"57894","W02000065 W02000066",0,1,1,2
"57895","W02000065 W02000067",0,1,1,2
"57896","W02000065 W02000068",0,1,1,2
"57897","W02000065 W02000069",0,1,1,2
"57898","W02000065 W02000070",0,1,1,2
"57899","W02000066 W02000067",0,1,1,2
"57900","W02000066 W02000068",0,1,1,2
"57901","W02000066 W02000070",0,1,1,2
"57902","W02000067 W02000068",0,1,1,2
"57903","W02000067 W02000069",0,1,1,2
"57904","W02000067 W02000070",0,1,1,2
"57905","W02000067 W02000071",0,1,1,2
"57906","W02000067 W02000074",0,1,1,2
"57907","W02000068 W02000070",0,1,1,2
"57908","W02000068 W02000072",0,1,1,2
"57909","W02000069 W02000070",0,1,1,2
"57910","W02000069 W02000071",0,1,1,2
"57911","W02000069 W02000073",0,1,1,2
"57912","W02000069 W02000074",0,1,1,2
"57913","W02000070 W02000071",0,1,1,2
"57914","W02000070 W02000074",0,1,1,2
"57915","W02000070 W02000075",0,1,1,2
"57916","W02000071 W02000073",0,1,1,2
"57917","W02000071 W02000074",0,1,1,2
"57918","W02000071 W02000076",0,1,1,2
"57919","W02000072 W02000075",0,1,1,2
"57920","W02000073 W02000074",0,1,1,2
"57921","W02000073 W02000076",0,1,1,2
"57922","W02000074 W02000075",0,1,1,2
"57923","W02000075 W02000077",0,1,1,2
"57924","W02000077 W02000080",0,1,1,2
"57925","W02000077 W02000081",0,1,1,2
"57926","W02000080 W02000081",0,1,1,2
"57927","W02000080 W02000082",0,1,1,2
"57928","W02000080 W02000083",0,1,1,2
"57929","W02000080 W02000084",0,1,1,2
"57930","W02000080 W02000085",0,1,1,2
"57931","W02000080 W02000086",0,1,1,2
"57932","W02000080 W02000087",0,1,1,2
"57933","W02000080 W02000088",0,1,1,2
"57934","W02000080 W02000089",0,1,1,2
"57935","W02000080 W02000420",0,1,1,2
"57936","W02000081 W02000082",0,1,1,2
"57937","W02000081 W02000083",0,1,1,2
"57938","W02000081 W02000084",0,1,1,2
"57939","W02000081 W02000085",0,1,1,2
"57940","W02000081 W02000086",0,1,1,2
"57941","W02000081 W02000087",0,1,1,2
"57942","W02000081 W02000088",0,1,1,2
"57943","W02000081 W02000089",0,1,1,2
"57944","W02000081 W02000420",0,1,1,2
"57945","W02000082 W02000083",0,1,1,2
"57946","W02000082 W02000084",0,1,1,2
"57947","W02000082 W02000085",0,1,1,2
"57948","W02000082 W02000086",0,1,1,2
"57949","W02000082 W02000087",0,1,1,2
"57950","W02000082 W02000088",0,1,1,2
"57951","W02000082 W02000089",0,1,1,2
"57952","W02000082 W02000091",0,1,1,2
"57953","W02000083 W02000085",0,1,1,2
"57954","W02000083 W02000088",0,1,1,2
"57955","W02000083 W02000091",0,1,1,2
"57956","W02000084 W02000085",0,1,1,2
"57957","W02000084 W02000086",0,1,1,2
"57958","W02000084 W02000087",0,1,1,2
"57959","W02000084 W02000088",0,1,1,2
"57960","W02000084 W02000089",0,1,1,2
"57961","W02000084 W02000420",0,1,1,2
"57962","W02000085 W02000086",0,1,1,2
"57963","W02000085 W02000087",0,1,1,2
"57964","W02000085 W02000088",0,1,1,2
"57965","W02000085 W02000089",0,1,1,2
"57966","W02000085 W02000420",0,1,1,2
"57967","W02000086 W02000087",0,1,1,2
"57968","W02000086 W02000088",0,1,1,2
"57969","W02000086 W02000089",0,1,1,2
"57970","W02000086 W02000420",0,1,1,2
"57971","W02000087 W02000088",0,1,1,2
"57972","W02000087 W02000089",0,1,1,2
"57973","W02000087 W02000420",0,1,1,2
"57974","W02000088 W02000089",0,1,1,2
"57975","W02000088 W02000091",0,1,1,2
"57976","W02000089 W02000091",0,1,1,2
"57977","W02000090 W02000091",0,1,1,2
"57978","W02000090 W02000092",0,1,1,2
"57979","W02000090 W02000093",0,1,1,2
"57980","W02000090 W02000094",0,1,1,2
"57981","W02000091 W02000092",0,1,1,2
"57982","W02000091 W02000093",0,1,1,2
"57983","W02000092 W02000093",0,1,1,2
"57984","W02000092 W02000094",0,1,1,2
"57985","W02000093 W02000094",0,1,1,2
"57986","W02000094 W02000096",0,1,1,2
"57987","W02000104 W02000105",0,1,1,2
"57988","W02000113 W02000414",0,1,1,2
"57989","W02000117 W02000118",0,1,1,2
"57990","W02000130 W02000131",0,1,1,2
"57991","W02000134 W02000138",0,1,1,2
"57992","W02000134 W02000140",0,1,1,2
"57993","W02000135 W02000137",0,1,1,2
"57994","W02000138 W02000140",0,1,1,2
"57995","W02000139 W02000140",0,1,1,2
"57996","W02000147 W02000148",0,1,1,2
"57997","W02000147 W02000149",0,1,1,2
"57998","W02000148 W02000149",0,1,1,2
"57999","W02000152 W02000154",0,1,1,2
"58000","W02000156 W02000157",0,1,1,2
"58001","W02000158 W02000160",0,1,1,2
"58002","W02000158 W02000168",0,1,1,2
"58003","W02000160 W02000161",0,1,1,2
"58004","W02000160 W02000163",0,1,1,2
"58005","W02000160 W02000165",0,1,1,2
